year,last_day,value,first_day,value,season_length
1881,05-03 (1881),31,09-15 (1881),31,134
1882,05-22 (1882),27,09-20 (1882),27,120
1883,06-03 (1883),32,09-08 (1883),29,96
1884,05-02 (1884),29,10-08 (1884),27,158
1885,06-08 (1885),30,08-25 (1885),32,77
1886,05-16 (1886),29,08-31 (1886),32,106
1887,05-17 (1887),25,09-15 (1887),29,120
1888,06-01 (1888),28,09-12 (1888),27,102
1889,05-30 (1889),30,09-15 (1889),31,107
1890,05-20 (1890),32,09-12 (1890),32,114
1891,05-25 (1891),30,09-03 (1891),32,100
1892,05-20 (1892),28,10-08 (1892),27,140
1893,04-29 (1893),26,09-16 (1893),31,139
1894,05-08 (1894),32,09-11 (1894),29,125
1895,05-22 (1895),32,09-23 (1895),30,123
1896,04-21 (1896),32,09-11 (1896),32,142
1897,06-07 (1897),32,09-17 (1897),28,101
1898,05-16 (1898),32,09-08 (1898),32,114
1899,05-14 (1899),32,09-25 (1899),32,133
1900,05-09 (1900),32,09-17 (1900),31,130
1901,06-07 (1901),32,09-18 (1901),28,102
1902,05-09 (1902),31,09-11 (1902),32,124
1903,05-06 (1903),32,09-13 (1903),32,129
1904,04-20 (1904),32,09-20 (1904),30,152
1905,05-25 (1905),32,10-10 (1905),32,137
1906,05-09 (1906),32,10-06 (1906),32,149
1907,05-27 (1907),29,09-25 (1907),31,120
1908,05-07 (1908),32,09-28 (1908),30,143
1909,05-10 (1909),26,10-11 (1909),27,153
1910,06-02 (1910),32,09-09 (1910),32,98
1911,05-12 (1911),32,10-20 (1911),28,160
1912,04-29 (1912),27,09-16 (1912),32,139
1913,05-18 (1913),32,09-21 (1913),28,125
1914,05-14 (1914),28,10-13 (1914),30,151
1915,06-09 (1915),32,10-04 (1915),31,116
1916,05-19 (1916),32,09-28 (1916),32,131
1917,05-27 (1917),30,09-10 (1917),27,105
1918,05-20 (1918),32,09-17 (1918),25,119
1919,05-09 (1919),32,09-25 (1919),32,138
1920,05-01 (1920),28,09-30 (1920),26,151
1921,05-16 (1921),32,10-03 (1921),30,139
1922,04-26 (1922),31,10-09 (1922),31,165
1923,05-16 (1923),29,09-13 (1923),27,119
1924,05-25 (1924),31,10-10 (1924),32,137
1925,05-17 (1925),28,09-21 (1925),29,126
1926,05-22 (1926),31,09-22 (1926),31,122
1927,05-14 (1927),31,09-23 (1927),32,131
1928,05-05 (1928),30,09-23 (1928),32,140
1929,05-20 (1929),31,09-18 (1929),24,120
1930,05-24 (1930),31,09-28 (1930),24,126
1931,05-22 (1931),32,09-24 (1931),31,124
1932,05-01 (1932),31,10-05 (1932),28,156
1933,05-10 (1933),32,09-26 (1933),32,138
1934,05-11 (1934),30,09-21 (1934),26,132
1935,05-10 (1935),32,09-26 (1935),32,138
1936,04-29 (1936),29,09-29 (1936),31,152
1937,04-27 (1937),32,10-07 (1937),32,162
1938,05-08 (1938),32,10-19 (1938),31,163
1939,05-11 (1939),28,09-25 (1939),29,136
1940,05-02 (1940),30,09-25 (1940),30,145
1941,05-09 (1941),31,09-29 (1941),32,142
1942,05-14 (1942),31,09-19 (1942),30,127
1943,05-13 (1943),29,09-20 (1943),29,129
1944,05-08 (1944),32,10-09 (1944),25,153
1945,05-17 (1945),32,09-28 (1945),26,133
1946,05-15 (1946),26,09-29 (1946),31,136
1947,05-30 (1947),29,09-21 (1947),30,113
1948,05-28 (1948),32,10-01 (1948),32,125
1949,05-24 (1949),28,09-14 (1949),32,112
1950,05-02 (1950),32,10-02 (1950),30,152
1951,05-10 (1951),30,09-23 (1951),29,135
1952,05-12 (1952),30,10-02 (1952),29,142
1953,05-16 (1953),32,09-21 (1953),32,127
1954,05-19 (1954),31,09-22 (1954),31,125
1955,05-10 (1955),32,09-11 (1955),29,123
1956,05-07 (1956),30,09-06 (1956),32,121
1957,05-09 (1957),28,09-23 (1957),30,136
1958,05-06 (1958),31,10-01 (1958),32,147
1959,05-22 (1959),32,09-10 (1959),32,110
1960,05-11 (1960),26,09-30 (1960),31,141
1961,05-29 (1961),32,09-27 (1961),31,120
1962,05-06 (1962),32,09-20 (1962),31,136
1963,05-22 (1963),21,10-11 (1963),31,141
1964,05-31 (1964),32,09-11 (1964),28,102
1965,05-28 (1965),32,09-24 (1965),29,118
1966,05-10 (1966),32,09-25 (1966),29,137
1967,05-21 (1967),30,09-27 (1967),24,128
1968,05-05 (1968),30,10-03 (1968),27,150
1969,06-20 (1969),30,10-08 (1969),30,109
1970,05-26 (1970),29,09-13 (1970),30,109
1971,05-20 (1971),30,09-18 (1971),27,120
1972,05-07 (1972),27,09-27 (1972),32,142
1973,05-17 (1973),31,09-16 (1973),26,121
1974,05-15 (1974),30,09-21 (1974),27,128
1975,05-03 (1975),31,10-01 (1975),26,150
1976,05-17 (1976),30,09-21 (1976),32,126
1977,05-07 (1977),30,10-02 (1977),29,147
1978,04-25 (1978),32,10-07 (1978),29,164
1979,05-15 (1979),32,10-04 (1979),26,141
1980,05-15 (1980),31,09-23 (1980),31,130
1981,05-10 (1981),24,09-28 (1981),30,140
1982,05-08 (1982),31,09-20 (1982),31,134
1983,05-25 (1983),30,09-22 (1983),30,119
1984,05-09 (1984),28,09-25 (1984),28,138
1985,04-26 (1985),32,09-24 (1985),30,150
1986,05-02 (1986),26,09-13 (1986),32,133
1987,04-22 (1987),31,10-02 (1987),31,162
1988,05-13 (1988),24,10-03 (1988),31,142
1989,05-06 (1989),25,09-22 (1989),32,138
1990,05-18 (1990),27,09-23 (1990),29,127
1991,05-05 (1991),31,09-26 (1991),29,143
1992,05-24 (1992),31,09-22 (1992),30,120
1993,05-15 (1993),32,09-23 (1993),31,130
1994,05-07 (1994),30,10-24 (1994),30,169
1995,05-17 (1995),32,09-20 (1995),28,125
1996,05-11 (1996),26,10-02 (1996),31,143
1997,05-13 (1997),28,10-13 (1997),32,152
1998,04-22 (1998),32,10-01 (1998),30,161
1999,04-23 (1999),27,09-29 (1999),32,158
2000,05-14 (2000),28,09-24 (2000),29,132
2001,04-24 (2001),32,09-24 (2001),30,152
2002,05-24 (2002),26,09-27 (2002),31,125
2003,05-02 (2003),29,09-25 (2003),28,145
2004,05-14 (2004),29,10-02 (2004),29,140
2005,05-04 (2005),30,10-15 (2005),32,163
2006,04-25 (2006),25,10-09 (2006),30,166
2007,04-17 (2007),29,10-22 (2007),31,187
2008,05-27 (2008),32,10-14 (2008),31,139
2009,05-10 (2009),28,10-08 (2009),27,150
2010,05-09 (2010),32,10-02 (2010),32,145
2011,05-03 (2011),27,09-15 (2011),30,134
2012,04-26 (2012),31,09-18 (2012),32,144
2013,05-12 (2013),24,10-16 (2013),29,156
2014,05-16 (2014),31,10-08 (2014),30,144
2015,05-19 (2015),31,10-07 (2015),31,140
2016,05-17 (2016),32,10-07 (2016),32,142
2017,04-30 (2017),32,10-09 (2017),31,161
2018,05-11 (2018),29,09-28 (2018),28,139
2019,05-20 (2019),32,10-11 (2019),31,143
2020,05-12 (2020),22,09-09 (2020),30,119
Minimum,04-17 (2007),,08-25 (1885),,77
Mean,13-May,,25-Sep,,134
Maximum,06-20 (1969),,10-24 (1994),,187
